species,trophic_level,species_group,source
Anchoveta,2.7,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Atlantic herring,3.2,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Skipjack tuna,3.8,Tunas,Literature (Pauly & Christensen 1995 / FishBase)
Atlantic cod,4.0,Demersal,Literature (Pauly & Christensen 1995 / FishBase)
Alaska pollock,3.5,Demersal,Literature (Pauly & Christensen 1995 / FishBase)
Blue whiting,3.6,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Yellowfin tuna,4.3,Tunas,Literature (Pauly & Christensen 1995 / FishBase)
European pilchard (sardine),2.7,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Japanese anchovy,3.1,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Largehead hairtail,4.0,Demersal,Literature (Pauly & Christensen 1995 / FishBase)
Atlantic mackerel,3.2,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Chub mackerel,3.2,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Pacific saury,3.1,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Bigeye tuna,4.5,Tunas,Literature (Pauly & Christensen 1995 / FishBase)
Chilean jack mackerel,3.5,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
European sprat,3.0,Small pelagics,Literature (Pauly & Christensen 1995 / FishBase)
Nile tilapia,2.0,Freshwater,Literature (Pauly & Christensen 1995 / FishBase)
Catla,2.5,Freshwater,Literature (Pauly & Christensen 1995 / FishBase)
Common carp,2.9,Freshwater,Literature (Pauly & Christensen 1995 / FishBase)
Shrimp (various),2.5,Crustaceans,Literature (Pauly & Christensen 1995 / FishBase)
