species_group,sustainable_catch_mt,source,notes
"Herrings, sardines, anchovies",20.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Cods, hakes, haddocks",15.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Jacks, mullets, sauries",8.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Tunas, bonitos, billfishes",5.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Mackerels, snoeks, cutlassfishes",5.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Shrimps, prawns",3.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Squids, cuttlefishes, octopuses",3.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Flounders, halibuts, soles",3.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Redfishes, basses, congers",3.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Salmons, trouts, smelts",1.5,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
"Lobsters, crabs",1.5,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
Freshwater fishes,10.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
Miscellaneous marine fishes,10.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
Other aquatic invertebrates,5.0,Gulland 1971 / FAO (approximate allocation),Ref total: 93 Mt/yr. Allocation across groups is approximate.
