name,parameter_in_formula,description,url,api_endpoint,notes
FAOSTAT - Crops & Production (QCL),P_cropland / Yield_cropland,"Crop production quantities and yield per hectare by country and crop type. Domain QCL (Production/Yields). Core input for cropland Footprint demand.",https://dataexplorer.fao.org,https://fenixservices.fao.org/faostat/api/v1/en/,"SDMX-standard API; database code QCL for production. Also at https://www.fao.org/faostat/en/#data"
FAOSTAT - Land Use (RL),P_cropland / P_grazing / P_built-up,"Land area by use type: arable land, permanent pasture, built-up. Domain RL (Land Use) or LC (Land Cover). Defines physical hectares per land type.",https://dataexplorer.fao.org,https://fenixservices.fao.org/faostat/api/v1/en/,"Database code RL for land use, LC for land cover"
FAOSTAT - Livestock (QA),P_grazing / Feed_demand,"Livestock population counts for cattle, sheep, goats, equines, camels. Used to calculate metabolic requirements and grazing demand minus cultivated feed.",https://dataexplorer.fao.org,https://fenixservices.fao.org/faostat/api/v1/en/,Database code QA for live animals or QCL for livestock products
FAOSTAT - Trade (TCL),Footprint_consumption,"Import/export volumes of agricultural commodities. Used to convert production-based Footprint to consumption-based Footprint (Footprint_consumption = Production + Imports - Exports).",https://dataexplorer.fao.org,https://fenixservices.fao.org/faostat/api/v1/en/,Database code TCL for detailed trade matrix
FAOSTAT - Population (OA),Population,"National population by country and year. Denominator for all per-capita calculations (gha/person).",https://dataexplorer.fao.org,https://fenixservices.fao.org/faostat/api/v1/en/,Database code OA for population
FAO FRA - Forest Resources Assessment,P_forest / Forest_growth_rate,"Forest area by country, deforestation rates, and forest biomass stock. Defines physical hectares of forest and timber regrowth capacity for the forest product Footprint.",https://fra-data.fao.org/,,"Download global/regional summary spreadsheets or individual country reports"
FAO FishSTAT - Capture Fisheries,P_fishing / Fish_catch,"Marine and freshwater fish catch by species, country, and year. Includes by-catch. Used to calculate fishing ground Footprint demand against maximum sustainable yield.",https://www.fao.org/fishery/en/statistics,,"Capture Fisheries and Aquaculture Production datasets. FAO maximum sustainable yield reference: 93 million tons/year"
IEA - CO2 Emissions from Energy,Carbon_Footprint / CO2_emissions,"CO2 emissions from fossil fuel combustion by country, fuel type, and sector. Core input for the carbon Footprint component (65% of emissions after ocean absorption).",https://www.iea.org/data-and-statistics/data-explorers,https://www.iea.org/api,"API restricted to Enterprise licensees. Navigate to .Stat Data Explorer > Greenhouse Gas Emissions from Energy database. Free explorer available for browsing."
IEA - Energy Balances,Energy_consumption,"Total primary energy supply by fuel type (coal, oil, gas, nuclear). Used to derive carbon intensity per fuel and total fossil energy demand.",https://www.iea.org/data-and-statistics/data-explorers,https://www.iea.org/api,"Nuclear energy counted at par with fossil fuel in Footprint accounts per Wackernagel et al. 2002"
IPCC - National GHG Inventory Guidelines,Sequestration_rate / Carbon_intensity,"Forest carbon sequestration rates by biome (26 biomes), CO2 emission factors per fuel type. Used to convert CO2 emissions into forest area needed for sequestration.",https://www.ipcc-nggip.iges.or.jp/,,"Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories: Workbook Volume 2. Also IPCC AR5/AR6 for updated sequestration science."
UN Comtrade - Merchandise Trade,Footprint_consumption / Trade_balance,"Detailed bilateral trade flows by commodity (HS classification). Supplements FAO trade data for non-agricultural goods to compute consumption-based Footprint.",https://comtradeplus.un.org/,https://comtradedeveloper.un.org/,"Free registration: 100,000 records/call, 500 calls/day. Use Annual frequency, HS (Harmonized System) classification."
UN Population Division - World Population Prospects,Population,"Official national population estimates and projections by year. Reference denominator for per-capita Footprint and biocapacity.",https://population.un.org/wpp/,,Downloadable Data Files section for annual estimates by country
GAEZ - Global Agro-Ecological Zones,Equivalence_Factor / Yield_Factor,"Agricultural suitability indices (SI) per land type. Used to compute Equivalence Factors (EF = SI_landtype / SI_global_average) and inform Yield Factors across countries.",https://gaez.fao.org/,,"Joint FAO/IIASA model. Theme 4: Suitability and Attainable Yield; Theme 5: Actual Yields and Production. Available as ArcGIS Image Services."
GLASOD - Global Soil Degradation,Biocapacity_loss,"Maps of human-induced soil degradation classified as strong or extreme (unreclaimable). Used to reduce biocapacity estimates where land is permanently degraded.",https://data.isric.org/geonetwork/srv/api/records/9e84c15e-cb46-45e2-9126-1ca38bd5cd22,,"Digital GLASOD database from ISRIC. Download Shapefile format. Degradation rated as light/moderate/strong/extreme."
